船舶类型_标准化,平均速度(kts),重油IFO(mt)_mean,重油IFO(mt)_std,重油IFO(mt)_count,船舶载重(t)_mean,载重状态系数_mean,综合效率指标_mean
Bulk Carrier,10.88,23.22,5.73,209,68355.25,0.98,1.06
Bulk Carrier,10.89,17.51,12.08,7,78289.43,0.96,1.04
Bulk Carrier,10.9,22.23,7.83,142,70466.9,0.97,1.06
Bulk Carrier,10.91,23.19,2.22,7,71437.86,0.91,1.0
Bulk Carrier,10.92,22.26,6.85,231,68029.72,0.97,1.06
Bulk Carrier,10.93,17.19,10.95,8,63946.62,0.94,1.03
Bulk Carrier,10.95,22.98,4.19,13,55183.08,0.99,1.08
Bulk Carrier,10.96,21.99,6.89,217,66903.54,0.97,1.06
Bulk Carrier,10.97,17.05,11.26,11,74506.64,0.93,1.02
Bulk Carrier,10.98,23.92,2.83,11,71053.55,0.97,1.07
Bulk Carrier,11.0,23.6,6.5,550,71154.69,0.98,1.07
Bulk Carrier,11.01,20.21,10.68,10,80268.2,0.96,1.05
Bulk Carrier,11.02,22.7,10.81,14,87343.86,0.96,1.05
Bulk Carrier,11.03,21.49,5.52,7,82025.43,0.96,1.06
Bulk Carrier,11.04,23.36,5.69,265,70331.06,0.98,1.08
Bulk Carrier,11.05,21.21,8.98,15,68235.07,0.96,1.06
Bulk Carrier,11.06,24.99,1.93,11,68434.36,1.0,1.11
Bulk Carrier,11.08,23.68,5.96,263,72306.15,0.97,1.07
Bulk Carrier,11.1,23.11,6.78,136,69829.42,0.96,1.07
Bulk Carrier,11.11,24.94,0.81,6,80978.0,0.92,1.03
Bulk Carrier,11.12,44.42,130.08,40,69724.1,0.96,1.07
Bulk Carrier,11.13,23.16,5.9,227,68391.92,0.97,1.08
Bulk Carrier,11.14,20.36,8.13,10,65915.9,1.0,1.11
Bulk Carrier,11.15,22.3,7.79,11,72875.91,0.96,1.07
Bulk Carrier,11.16,23.39,7.23,43,76206.4,0.95,1.06
Bulk Carrier,11.17,23.67,6.09,216,70406.05,0.98,1.09
Bulk Carrier,11.18,21.74,3.67,8,60933.62,0.94,1.06
Bulk Carrier,11.2,22.97,6.34,178,67140.58,0.97,1.09
Bulk Carrier,11.21,23.17,6.83,212,70874.83,0.97,1.09
Bulk Carrier,11.23,22.02,8.72,9,72421.33,0.97,1.09
Bulk Carrier,11.24,21.92,9.62,31,67506.1,0.97,1.09
Bulk Carrier,11.25,22.71,5.7,242,68512.52,0.96,1.09
Bulk Carrier,11.26,21.21,8.89,8,76599.38,0.94,1.06
Bulk Carrier,11.27,23.77,5.57,7,57827.57,1.0,1.13
Bulk Carrier,11.28,20.08,11.72,23,75733.04,0.96,1.08
Bulk Carrier,11.29,23.45,5.11,236,67734.75,0.97,1.1
Bulk Carrier,11.3,21.58,6.48,172,61587.98,0.96,1.09
Bulk Carrier,11.31,18.23,11.35,8,75970.38,0.89,1.0
Bulk Carrier,11.32,21.47,8.55,40,73128.6,0.98,1.11
Bulk Carrier,11.33,23.34,6.26,249,69847.22,0.97,1.09
Bulk Carrier,11.34,20.54,8.1,9,76473.56,0.93,1.06
Bulk Carrier,11.35,23.96,2.4,8,67201.25,0.94,1.07
Bulk Carrier,11.36,24.6,2.53,25,70897.64,0.96,1.09
Bulk Carrier,11.37,22.61,3.89,17,69453.41,0.94,1.07
Bulk Carrier,11.38,23.48,5.82,212,70459.49,0.97,1.11
Bulk Carrier,11.39,21.85,4.54,7,62865.43,0.98,1.11
Bulk Carrier,11.4,22.32,6.5,151,65519.57,0.95,1.09
Bulk Carrier,11.41,21.31,8.44,9,69272.44,0.95,1.08
Bulk Carrier,11.42,23.46,6.02,218,69926.44,0.96,1.1
Bulk Carrier,11.43,17.91,11.59,18,77353.17,0.96,1.1
Bulk Carrier,11.44,22.46,5.13,36,65481.25,0.97,1.11
Bulk Carrier,11.45,21.61,7.76,20,65788.5,0.95,1.08
